행정구역,토지거래허가(물건수),토지거래허가 토지면적(제곱미터),토지거래허가건축물면적(제곱미터),토지거래허가 금액(백만원),거래신고(물건수),거래신고 토지면적(제곱미터),거래신고건축물면적(제곱미터),거래신고 금액(백만원),검인(물건수),검인 토지면적(제곱미터),검인건축물면적(제곱미터),검인 금액(백만원)
강화군,0,0,0,0,7247,4157640,649669,1004012,1911,3737076,62178,4048
옹진군,0,0,0,0,1433,1340098,91417,145846,874,759472,20768,5840
중구,0,0,0,0,7744,1551126,495197,3306354,3063,2670148,2315547,10046
동구,0,0,0,0,1582,79987,105994,446183,273,20757,20157,0
미추홀구,12,5347,10639.67,12176,11430,438538,804721,3589707,3504,725878,465166,34880
연수구,7,2722.2,3645.06,8950,8368,1703057,727273,5707802,1931,1740389,928823,9084
남동구,49,39914,10287.86,96378,8506,625694,1076948,3106318,2137,294219,342306,20070
부평구,0,0,0,0,10066,733285,704834,3390033,4589,999583,354967,15655
계양구,17,26741,0,7090,6274,1195619,434683,2519202,1927,1429909,170789,102690
서구,6,5549.6,246.72,6814,25276,5453542,4231111,13761171,8805,3008981,9091694,638554
